,year,month,day,hour,V,Verr,N,Nerr,S,Serr,E,Eerr,W,Werr,NE,NEerr,SE,SEerr,NW,NWerr,SW,SWerr,N2,N2err,S2,S2err,E2,E2err,W2,W2err,N3,N3err,S3,S3err,E3,E3err,W3,W3err,Pres.,TIME
82,2018,1,4,10,2541015,1601,895282,950,920230,963,1130414,1067,1211814,1105,446849,671,461998,682,499028,709,534250,734,260763,512,282914,534,352144,595,402726,637,41915,205,43139,208,87177,296,105978,327,957.628,2018-01-04 10:30:00
83,2018,1,4,11,2542279,1602,896003,951,920569,964,1130963,1068,1211564,1106,447398,671,464697,684,497736,708,536386,735,261371,513,283778,535,353316,597,403307,638,42166,206,42943,208,86828,296,106740,328,958.047,2018-01-04 11:30:00
84,2018,1,4,12,2542661,1602,895262,950,920826,964,1130552,1068,1216367,1108,446670,671,463702,684,499970,710,534073,734,260280,512,282349,533,351731,595,402852,637,42034,206,43113,208,86743,295,106060,327,958.235,2018-01-04 12:30:00
85,2018,1,4,13,2541030,1601,896482,951,919738,963,1131497,1068,1213972,1107,447221,671,465035,684,499856,710,535274,735,259392,511,282570,534,352545,596,403373,638,41935,205,43207,208,86694,295,105993,327,958.136,2018-01-04 13:30:00
86,2018,1,4,14,2542991,1602,895440,950,920408,964,1129309,1067,1215272,1107,447144,671,462994,683,499444,710,534726,734,260841,513,282377,533,351358,595,402846,637,41969,205,43114,208,86918,296,106017,327,958.03,2018-01-04 14:30:00
87,2018,1,4,15,2541867,1601,895549,950,917818,962,1127485,1066,1213500,1106,446881,671,462130,682,498849,709,533862,734,259886,512,281895,533,351727,595,402908,637,42166,206,43013,208,86338,295,106113,327,957.754,2018-01-04 15:30:00
88,2018,1,4,16,2536967,1599,896341,950,916464,961,1126934,1065,1212882,1106,445885,670,460810,681,499088,709,533172,733,260338,512,281679,533,351168,594,403859,638,41816,205,43134,208,86991,296,106410,327,957.364,2018-01-04 16:30:00
89,2018,1,4,17,2538505,1599,895609,950,916172,961,1126777,1065,1214218,1106,445628,670,460982,681,499100,709,532617,732,259321,511,281464,532,352108,595,403358,637,42295,206,42851,207,86335,295,106198,327,956.939,2018-01-04 17:30:00
90,2018,1,4,18,2533759,1598,893471,948,915627,960,1125154,1064,1213248,1105,446006,670,460808,681,497693,708,532960,732,259812,511,281377,532,351476,594,401551,636,41598,204,42921,208,86798,295,105707,326,956.507,2018-01-04 18:30:00
91,2018,1,4,19,2535630,1598,892864,948,916709,960,1125407,1064,1212154,1104,444957,669,460535,680,498106,708,532546,732,259580,511,281791,532,351253,594,403230,637,41760,205,43099,208,87015,296,106290,327,955.967,2018-01-04 19:30:00
92,2018,1,4,20,2534336,1597,890765,946,916423,960,1128466,1065,1210293,1103,445191,669,461603,681,497619,707,533552,732,260323,511,282464,533,350335,593,402973,636,41969,205,43309,208,86774,295,106473,327,955.617,2018-01-04 20:30:00
93,2018,1,4,21,2529591,1595,892857,948,916580,960,1126946,1064,1210020,1103,444421,668,462295,681,496440,706,532911,732,259448,511,282482,533,351252,594,401540,635,42161,206,42927,207,86718,295,106047,326,955.514,2018-01-04 21:30:00
94,2018,1,4,22,2530235,1596,891369,947,917232,961,1125911,1064,1209493,1103,445396,669,461201,681,496433,707,533350,732,260033,511,282986,533,351131,594,400562,635,41956,205,42902,207,86881,295,106023,326,955.771,2018-01-04 22:30:00
95,2018,1,4,23,2533194,1597,891483,947,916787,960,1124998,1064,1210008,1104,444062,668,461890,681,496211,706,532334,732,259787,511,281355,532,351399,594,402842,637,41812,205,42999,208,86980,295,106014,326,956.06,2018-01-04 23:30:00
96,2018,1,5,0,2532531,1597,890002,946,916102,960,1125803,1064,1209416,1103,444776,669,461889,681,496461,707,532519,732,259210,511,281920,532,351914,595,401705,636,41890,205,43477,209,86470,295,106076,327,956.292,2018-01-05 00:30:00
97,2018,1,5,1,2530182,1596,891210,947,916853,961,1126716,1065,1209945,1104,445229,669,462076,682,496732,707,533091,732,259043,510,281355,532,351342,594,401861,636,41795,205,43191,208,86636,295,105800,326,956.261,2018-01-05 01:30:00
98,2018,1,5,2,2531804,1596,889489,946,916487,960,1125685,1064,1208252,1103,444551,668,461322,681,497442,707,531654,731,258883,510,282832,533,351606,594,402567,636,41617,204,43271,208,86122,294,105676,326,955.978,2018-01-05 02:30:00
99,2018,1,5,3,2534551,1597,892186,947,916853,960,1126071,1064,1210781,1104,445147,669,462254,681,497730,707,532320,732,259585,511,282373,533,351678,594,402847,636,42276,206,42889,207,87105,296,105748,326,955.552,2018-01-05 03:30:00
100,2018,1,5,4,2534460,1596,893354,948,918286,961,1124824,1063,1209992,1103,447231,670,462809,682,498667,708,532638,732,260370,511,281813,532,352548,595,402111,636,41801,205,43145,208,86854,295,106600,327,955.092,2018-01-05 04:30:00
101,2018,1,5,5,2534713,1596,893363,947,916324,959,1127935,1064,1210054,1102,447930,670,461226,680,499447,708,532407,731,260072,511,283293,533,352245,594,401081,635,41798,204,43030,208,86788,295,105864,326,954.493,2018-01-05 05:30:00
102,2018,1,5,6,2533330,1595,894151,947,918805,960,1127309,1064,1213061,1104,446821,670,462588,681,498281,707,532549,731,259012,510,282236,532,352604,595,403118,636,41952,205,43414,208,87078,295,106324,326,954.221,2018-01-05 06:30:00
103,2018,1,5,7,2537047,1596,894429,948,918285,960,1125717,1063,1211207,1103,446446,669,461177,680,497002,706,533265,732,260300,511,281832,532,352110,594,402563,636,42048,205,42877,207,85929,293,106293,326,954.246,2018-01-05 07:30:00
104,2018,1,5,8,2535816,1596,894502,948,917157,960,1131096,1066,1212182,1103,446842,670,462851,682,498922,708,534521,733,260329,511,283655,534,351823,594,402242,635,41774,204,43155,208,86162,294,106849,327,954.481,2018-01-05 08:30:00
105,2018,1,5,9,2536894,1597,894484,948,918956,961,1131005,1066,1211977,1104,446830,670,462579,682,498100,708,533296,732,259548,511,283497,534,351374,594,403480,637,42243,206,43381,209,86567,295,106634,327,955.357,2018-01-05 09:30:00
106,2018,1,5,10,2538456,1599,896412,950,917844,961,1129432,1066,1214058,1106,447058,670,462862,682,498004,708,533155,732,258958,510,282774,533,352051,595,402830,637,42070,205,43452,209,86764,295,106328,327,956.415,2018-01-05 10:30:00
107,2018,1,5,11,2541054,1600,895356,950,918051,962,1128425,1066,1211274,1105,445043,669,461763,682,498686,709,533153,733,260605,512,282535,533,351896,595,403289,637,42491,206,43263,208,86497,295,106425,327,956.947,2018-01-05 11:30:00
108,2018,1,5,12,2538107,1599,894905,949,918758,962,1128435,1066,1214478,1106,445883,670,462709,682,498776,709,534683,734,260399,512,282312,533,351274,594,403312,637,41750,205,43190,208,86526,295,105475,326,956.829,2018-01-05 12:30:00
109,2018,1,5,13,2538575,1599,894811,949,916252,961,1130734,1067,1214111,1106,445442,669,461537,681,500131,710,533161,733,260039,512,282418,533,350872,594,402548,637,42444,206,42934,208,87402,296,106093,327,956.803,2018-01-05 13:30:00
110,2018,1,5,14,2537274,1599,895389,949,917079,961,1128444,1066,1212601,1105,446522,670,462457,682,497913,708,532869,732,260778,512,281985,533,352666,596,403249,637,42189,206,43159,208,86353,295,105566,326,956.553,2018-01-05 14:30:00
